title, post
Hitendra Shakya appointed the acting Managing Director of NEA,KATHMANDU: Hitendra Dev Shakya has been appointed as the acting Managing Director of Nepal Electricity Authority. Ministry of Energy Water Resources and Irrigation appointed Shakya as the acting chief of the Authority on Monday. Shakya has been appointed to the top post of NEA after being called back from the NEA Engineering Company. Energy Minster Barshaman Pun on Friday had given the direction to call Shakya back. The government had appointed senior deputy executive director of NEA Lekhnath Koirala as the acting managing director after the formal departure of former Managing Director Kulman Ghising on September 15. Ghising was appointed to the top post of NEA in 2016. READ ALSO:   
‘Rights situation deplorable during pandemic’,KATHMANDU NOVEMBER 8 The National Human Rights Commission has expressed concern about poor human rights situation in Bagmati Province during the COVID-19 crisis. A report released by the NHRC Bagmati Province Office last week said the government had failed to initiate preparedness measures against the pandemic. “The government did not make enough effort to control or avoid the outbreak of the disease and lagged behind in cashing in on the delayed onset of the contagion in the country thereby worsening the rights situation” read the report. Nepal reported the first case of the virus in March when many countries in the world had already been passing through the crisis. Limited number of quarantine and isolation facilities lack of health workers and life-saving medical equipment like ventilators poor arrangement of labs and hospitals low coverage of PCR test and delay in operation of coronavirus dedicated hospitals contributed to spike in COVID-19 cases it read. According to the report the government also failed to properly utilise the nationwide lockdown period to prevent and control COVID-19. The NHRC said increasing cases of COVID-19 despite the lockdown was worrisome as the government did not take initiatives to expand the PCR test coverage in a timely manner. Initially the government preferred RDT to PCR method. RDT is not as reliable as PCR. Only PCR testing technology can confirm whether a person is infected with the virus. As per the report hospitals and health workers did not have access to personal protective equipment. Cases of gender-based violence increased during the lockdown period and all three tiers of government did not adopt effective measures to prevent and control such incidents. Differently-abled persons senior citizens pregnant and lactating women and infants children and other vulnerable groups were most affected by the pandemic and their rights situated deteriorated. The government was not up to the mark to strictly implement ‘Standard on Operation and Management of Quarantine for COVID-19’ for providing basic amenities to quarantined persons. Many institutional quarantine centres lacked basic amenities and skilled human resources and necessary medical equipment such as oxygen cylinders and ventilators. The report has also expressed serious concern about deteriorating humanitarian situation of thousands of daily wagers in Kathmandu valley patients requiring medical check-up and follow-up and people taking a long walk home amid the nationwide lockdown imposed by the government. The NHRC had formed a monitoring committee in each province to monitor various issues including government’s performance in the fight against COVID-19 arrangement of medical treatment consumer rights freedom of expression access to justice and civic duties during the ongoing crisis. “The government failed to stop production and supply of substandard goods food adulteration overcharging and black-marketing” read the report. A version of this article appears in print on November 09 2020 of The Himalayan Times.  
Oli seeks Nepal’s help to resolve crisis in ruling party,The party’s problems are rooted in leaders who have already led the party and the government KATHMANDU NOVEMBER 8 A day after five members of the ruling Nepal Communist Party (NCP) Secretariat upped the ante against Prime Minister KP Sharma Oli by making a formal demand for calling party Secretariat meeting the PM called senior leader Madhav Kumar Nepal at his residence in Baluwatar to discuss political crisis in the party. Co-chair of the NCP Pushpa Kamal Dahal had recently told party leaders that the PM who has fallen into minority in the NCP Secretariat Standing Committee and Central Committee was not ready to call party bodies’ meetings and would rather split the party ‘on friendly terms’. Surendra Prasad Pandey who accompanied Nepal in the meeting with the PM today told THT that the PM sought Nepal’s support to resolve the crisis in the party but Nepal told Oli that he should come up with a concrete plan. Nepal also asked the PM to call the Secretariat meeting soon. A source close to Oli told THT that in the three-hour meeting with Nepal the PM said he had publicly announced that he would not seek to become the PM or NCP chair again after the current tenure and all party leaders who were around 70 years of age and had already become the party chief or the prime minister should also pledge to do the same to pave the way for young leaders of the party to take party leadership. The party’s problems are rooted in leaders who have already led the party and the government the PM told Nepal. The rival faction of the ruling party led by Dahal has accused the PM of acting unilaterally reshuffling the federal Cabinet without consulting other leaders of the party defying party decisions and engineering a no-trust motion against Karnali Chief Minister Mahendra Bahadur Shahi. NCP leader Bhim Bahadur Rawal and Raghuji Panta also accompanied Nepal when he went to meet the PM. Rawal said both sides exchanged their views on the current crisis but did not reach any conclusion. Asked if the PM’s meeting with Nepal was an attempt to rally the support of leaders who were formerly associated with the CPN-UML Rawal said no. Yesterday Deputy Prime Minister Ishwar Pokharel who is close to Oli had held a meeting with NCP Kathmandu chapter leaders who were formerly associated with the CPN-UML. Recently Oli had chaired a virtual meeting with the party’s Province 1 chapter leaders and told them to start a debate in favour of people’s multi-party democracy championed by the erstwhile UML. NCP lawmaker Beduram Bhusal who is close to Nepal said Oli had been trying to portray the current crisis as merely a power tussle between him and Dahal. “Current issues concern everybody in the party. Nepal has been saying that the party should be run on the basis of party norms and statute. No leader of the party is above party norms and rules and Nepal continues to stick to what he has been saying all these months” he said. Nepal conveyed the same message to the PM today. Nepal was among the five Secretariat members — others being Dahal Jhalanath Khanal Bamdev Gautam and Narayan Kaji Shrestha — who wrote a letter to Oli yesterday seeking his consent to call a Secretariat meeting to discuss the COVID-19 crisis and implementation of the party’s Standing Committee decisions. Featured image: File photo READ ALSO: A version of this article appears in print on November 09 2020 of The Himalayan Times.  
Nepal COVID-19 Update: 2569 new cases 1666 recoveries and 26 fatalities recorded on Wednesday,KATHMANDU: Nepal’s Health Ministry in its regular press briefing shared the latest updates on coronavirus contagion from across the country and government’s response to the health crisis. READ ALSO: Kathmandu valley reports 1261 fresh Covid-19 cases on Wednesday Till date 1574295 tests through Polymerase Chain Reaction (PCR) method have been carried out wherein 10081 tests have been carried out in the last 24 hours. At present there are 1109 people under quarantine in various facilities across the country. The number of active cases in Nepal is 38912. 2569 new cases of the coronavirus infection were registered today taking the national tally to 202329. As many as 1666 persons earlier diagnosed with the disease have tested negative in the last 24 hours. With the recent addition the national COVID-19 recovery tally has now reached 162243. Meanwhile 26 more fatalities were confirmed by the Ministry today with which the COVID-19 death tally has now reached 1174. As of today the country has witnessed 202329 cases of the coronavirus infection while 162243 people have recovered from the disease. Meanwhile 1174 COVID-19 fatalities have been confirmed.  
Water scarcity a problem past in a small Bajhang village,BAJHANG: Kantari Sarki of Sandil village in Thalara Rural Municipality-6 Bajhang is not worried about collecting water these days. Today there is a tap right in front of her house through which water flows 24 hours. The only concern she has is to make sure none of the village kids leave the tap on. She checks from time to time because the households are billed through a metre for the water they consume. All 38 households in the village have their own water taps. Once identified as an unclean village Sandil has turned things around with the now availability of sufficient water and has transformed into a clean and hygienic village. Clean houses tidy children and gardens full of freshly grown vegetables have made the village very appealing to an outsider’s eye. Just until about one and a half years ago people of Sandil would not have even dreamt that they would one day have a tap of their own which would dispense water all day long. They had a huge water scarcity problem and had to wake in the middle of the night to fill water from a well located at half-hour’s distance from their village. Whoever reached there first would get the water others were compelled to use unclean water from the river. It has however become the first village in the district to have water taps in each household. The taps were installed in each household of the village one and a half years ago with the investment of Rs 3.5 million from Thalara Rural Municipality and Rural Water Resource Management Programme. Likewise village locals donated free labour to carry out the task. The water was channeled from Chipleti. Chairperson of Chipleti Private Tap Drinking Water and Cleanliness Consumers Committee Saimal Chauhan stated that a metre has been attached to each of the taps and the households have been paying a monthly fee determined by the quantity of water used. He added that having their own taps has made the villagers accountable for their maintenance despite there being a designated person for the same. With the financial and technical support of the Rural Water Resource Management Programme the rural municipality has completed the construction of private water taps in 224 houses in five villages — Taranti Serala Sandil Gadi and Mallo Dikla. Chief of the District Coordination Committee Khadga Bahadur Khadka opined that the initiative taken by Thalara Rural Municipality to bring water into each household and to effectively manage the drinking water programme was exemplary.  
Three patients from Udayapur succumb to COVID 19 in two consecutive days,GAIGHAT: Three persons from Udayapur district who were undergoing treatment at hospitals in Morang and Sunsari succumbed to COVID-19 in two consecutive days. The deceased have been identified as a 21-year-old man of Salghari Bagaha in Triyuga Municipality-4 a 65-year-old woman of Triyuga-11 and a 42-year-old man of Chaudandigadhi Municipality-2 according to chief at Udayapur District Police Office Mohan Subedi. The youth was admitted to Nobel Hospital in Morang after he suffered from breathing issues on November 7. He succumbed to COVID-19 in course of treatment on Tuesday. Likewise the man from Chaudandigadhi died from the novel coronavirus while undergoing treatment at Dharan-based BP Koirala Institute of Health Sciences (BPKIHS) the hospital’s spokesperson Dr Ashish Shrestha said. He had been admitted to the hospital after having high fever on October 30. He tested positive for the virus two days after. Similarly the woman patient succumbed to the virus while undergoing treatment at Budhiganga-based Birat Teaching Hospital in Morang district on Monday morning. Her husband is also suffering from COVID-19 and said to be undergoing treatment at the hospital. The death toll from COVID-19 has reached 9 in the district. All of them succumbed to the viral infections while undergoing treatment at hospitals in Kathmandu Dharan and Biratnagar.  
26 more fatalities registered today; Covid-19 death-toll advances to 1174,KATHMANDU: Twenty-six more fatalities were reported in the last 24 hours with which Nepal’s Covid-19 death-tally has now advanced to 1174. 2569 fresh coronavirus cases as reported today took the nationwide coronavirus case count over 200000 to 202329. Over 1.2 million deaths from the disease have been reported worldwide while the global case tally is recorded over 51 million. On Tuesday 22 individuals diagnosed with Covid-19 succumbed to the disease taking the death toll to 1148.  
One Covid-19 related death reported in Pokhara,POKHARA: A Covid-19 infected person who was undergoing treatment in Pokhara passed away on Wednesday morning. According to Gandaki Province Health Directorate the 72-year-old male of Rupa Rural Municipality-5 in Kaski district died while undergoing treatment at the Covid-19 Treatment Centre of Pokhara Academy of Health Sciences at 8:30 am today. The deceased who was also suffering from pneumonia and kidney-related ailment tested positive for the contagion on November 9 informed Dr Binod Bindu Sharma Director at the Health Directorate. With this latest fatality the number of Covid-19 related deaths in Gandaki Province has reached 113.  
Contraband goods worth over Rs 300000 seized in Kanchanpur,DHANGADHI: Contraband goods worth over Rs 300000 have been seized in Kanchapur district. According to Armed Police Force the illegal goods were taken into custody from Parasan in Punarwas Municipality-7 and Purnagiri area of Mahakali Municipality-3 of the district on Tuesday night. Goods worth Rs 311972 were found to have been brought into the country by evading customs confirmed the security body. A mobile patrol team led by assistant police inspector Chandra Dev Bhatta from the headquarters of APF’s Battalion No. 35 based at Shaileshwori and another team of security personnel under the command of assistant police inspector Krishna Bahadur from the border outpost at Dodhara Chandani took the goods into custody. As informed by the APF 135 sacks of fertilizers sugar edible oil match boxes sweets were among the items found. The goods have been handed over to Kanchanpur Customs Office for necessary investigation.  
Self-defence training for girls in Dhangadi,DHANGADI NOVEMBER 10 Dhangadi Sub-metropolitan City has launched a self-defence training for girls and women in Dhangadi. The sub-metropolis launched the self-defence training for women and girls after incidents of rape and harassment increased in the district. The National Gojuriyo Karate Association has provided technical support for the training which started six days ago. The training will continue for a week for 30 girls. It is learnt that the trained girls will be used as trainers for other girls in future. National Gojuriyo Karate Association Sudurpaschim Province Chair Prakash Chand has been imparting the self-defence training. Dhangadi sub-metropolis Deputy Mayor Sushila Mishra Bhatta said the training was organised to reduce rape and harassment of girls. “The training is just for self-defence not for something else” Bhatta added. She stressed the need of self-defence for women and girls involved in politics as well. Earlier the sub-metropolis had provided self-defence training to 800 girls and women in a camp. Last year the sub-metropolis had provided self-defence training to 2400 women and girls with the support of National Gojuriyo Karate Association Sudurpaschim Province chapter. The age of women and girls receiving the training ranges from 12 to 25. Female journalist Nirmala Kadayat who took the training said it had taught girls how to protect themselves from predators. “We have learnt how to protect ourselves from rapists and harassers” added Kadayat. A version of this article appears in print on November 11 2020 of The Himalayan Times.  
Sakhui fire victims receive assistance,BARA NOVEMBER 10 Kalaiya sub-metropolis of Bara extended assistance to four families with poor economic condition whose houses and sheds were gutted in the fire that broke out last evening. According to Ram Autaar Chaudhary a fire victim they received daily essentials such as rice potatoes salt pulses and soaps in assistance. Besides Ram Autar’s family families of Sobhala Chaudhary Nandu Chaudhary and Ram Kishor Chaudhary also received the municipality’s assistance. The assistance was provided in the presence of Mayor Rajesh Raya Yadav. Property worth millions of rupees was gutted when the fire destroyed the houses and sheds of eight families in Sakhui Kalaiya sub-metropolis last evening. “The four families with poor economic status will also get tarpaulin utensils blankets and mattresses by this evening” said ward 24 Chairperson Harilal Chaudhary. Corn utensils jewellery cash and clothes were destroyed in the blaze the cause of which is yet to be ascertained. A version of this article appears in print on November 11 2020 of The Himalayan Times.  
Tourism slowly gaining momentum in Manang,MANANG NOVEMBER 10 Having witnessed a huge slump in visitors due to the COVID crisis Manang has started seeing an increase in visitors of late as hotels that were earlier shut due to the pandemic threat have started resuming operation. As per the data with Annapurna Conservation Area Project Manang the number of visitors has increased in the past two months. With transportation and hotels resuming a large number of tourists both domestic and foreign are visiting places such as Upper Manang Tilicho lake and Thorang-la pass. Visitors from all over the world come to trek on the world-famous Annapurna Trekking Route that traverses Mustang Manang Myagdi Kaski and Lamjung. The erstwhile 14-day trekking route can be completed in 10 days now due to extension of road network. In Manang’s Manang Ngsyang Rural Municipality almost all hotels have resumed. Hotels in places such as Pisang Ngwal Humde Bhraka Tanki Manang Tanki Village Gyaru and Khangsar have resumed from October 14. “Keeping in view the impact of the protracted closure of businesses over health concerns the government had decided to allow transportation and hotels to resume by using safety measures. Hotels have resumed by adopting the recommended safety measures” said Manang’s tourism entrepreneur Binod Gurung. Homestay operator Bishnu Gurung of Tanki Manang said homestay operators have been busy now with the influx of more and more tourists these days. “There was no business for six long months during the lockdown. We are busy welcoming visitors these days’ said Gurung. Feature image: File A version of this article appears in print on November 11 2020 of The Himalayan Times.  
Contractors occupying Khullamanch in Martadi,BAJURA NOVEMBER 10 The Khullamanch in Martadi Bajura has been left in the lurch for the last two years after contractors used the space to stock construction materials. The Khullamanch has yet to come into operation since then as the local government has paid no attention for its operation. The contractors have been controlling Khullamanch after they started keeping construction materials there. Locals complained that the District Coordination Committee had paid no attention to the fact that contractors had occupied the public place for the last two years. Milan Jung Karki a local said the chief district officer mayor and other people’s representatives of Badimalika Municipality were mute spectators. Civil Society leader Tularam Jaisi said action should be taken against the contractors as they had no right to misuse a public place by keeping it for themselves. He said the CDO had to take initiative if somebody was using the public places as if it were private property. Meanwhile the contractors claimed that they had not kept the construction materials of District Administration and Badimalika Municipality. Even CDO Krishna Gaire was unaware about it. Gaire said that the construction materials would be removed from the Khullamanch after coordinating with the municipality within one to two days. The area was used for public programmes such as celebrating national days and organising speeches among others. A version of this article appears in print on November 11 2020 of The Himalayan Times.  
Russia says its Sputnik V COVID-19 vaccine is 92% effective,MOSCOW: Russia’s Sputnik V vaccine is 92% effective at protecting people from COVID-19 according to interim trial results the country’s sovereign wealth fund said on Wednesday as Moscow rushes to keep pace with Western drugmakers in the race for a shot. The initial results are only the second to be published from a late-stage human trial in the global effort to produce vaccines that could halt a pandemic that has killed more than 1.2 million people and ravaged the world economy. The results are based on data from the first 16000 trial participants to receive both shots of the two-dose vaccine the Russian Direct Investment Fund (RDIF) which has been backing its development and marketing it globally said. “We are showing based on the data that we have a very effective vaccine” said RDIF head Kirill Dmitriev adding that it was the sort of news that the vaccine’s developers would talk about one day with their grandchildren. The analysis was conducted after 20 participants in the trial developed COVID-19 and examined how many had received the vaccine versus a placebo. That is significantly lower than the 94 infections in the trial of a vaccine being developed by Pfizer Inc and BioNTech. To confirm the efficacy rate Pfizer said it would continue its trial until there were 164 COVID-19 cases. RDIF said the Russian trial would continue for six more months and data from the study will also be published in a leading international medical journal following a peer review. European stocks and U.S. stock futures extended their gains slightly after Russia’s announcement. ANOTHER BOOST Russia’s announcement follows swiftly on from results posted on Monday by Pfizer and BioNTech which said their shot was also more than 90% effective. The Russian results are another boost to other COVID-19 vaccines currently in development and are a proof of concept that the disease can be halted with vaccination. Experts said knowledge about the trial’s design and protocol was sparse making it difficult to interpret the figures released on Wednesday. Scientists have raised concerns about the speed at which Moscow has worked giving regulatory go ahead for the shot and launching a mass vaccination programme before full trials to test its safety and efficacy had been completed. Russia registered its COVID-19 vaccine for public use in August the first country to do so though the approval came before the start of the large-scale trial in September. The so-called Phase III trial of the shot developed by the Gamaleya Institute is taking place in 29 clinics across Moscow and will involve 40000 volunteers in total with a quarter receiving a placebo shot. The chances of contracting COVID-19 were 92% lower among people vaccinated with Sputnik V than those who received the placebo the RDIF said. That’s well above the 50% effectiveness threshold for COVID-19 vaccines set by the U.S. Food and Drug Administration. “I can see no a priori reason to disbelieve these results but it’s so very hard to comment because there is so little data there” said Danny Altmann a professor of Immunology at Imperial College London. He said that while the Russian release was similar in its level of detail to the one from Pfizer and BioNTech the key difference was that Pfizer’s release came against a backdrop of a wealth of published data on how the trial was designed its protocol and what its endpoints were. The results of the early-stage trials were peer reviewed and published in September in The Lancet medical journal. SPUTNIK V The Russian drug is named Sputnik V after the Soviet-era satellite that triggered the space race a nod to the project’s geopolitical importance for Russian President Vladimir Putin. The vaccine is designed to trigger a response from two shots administered 21 days apart each based on different viral vectors that normally cause the common cold: human adenoviruses Ad5 and Ad26. The Pfizer and BioNTech vaccine uses messenger RNA (mRNA) technology and is designed to trigger an immune response without using pathogens such as actual virus particles. Russia is also testing a different vaccine produced by the Vector Institute in Siberia and is on the cusp of registering a third Putin said on Tuesday adding that all of the country’s vaccines were effective. RDIF said as of Nov. 11 no serious side effects had been reported during the Sputnik V Phase III trial. Some volunteers had short-term minor adverse events such as pain at the injection site flu-like syndrome including fever weakness fatigue and headache it said. MASS VACCINATIONS Successful vaccines are seen as a crucial to restoring daily life around the world by helping end the health crisis that shuttered businesses and put millions out of work. Russia registered the vaccine for domestic use in August and has also inoculated 10000 people considered at high risk of COVID-19 outside of the trial Putin has said that Russia expects to start mass vaccinations by the end of the year. “The publication of the interim results of the post-registration clinical trials that convincingly demonstrate Sputnik V vaccine’s efficacy gives way to mass vaccination in Russia against COVID-19 in the coming weeks” Alexander Gintsburg director of the Gamaleya Institute said. Moscow is rolling out a large network of vaccination rooms and residents who want the shot may be able to get it as early as next month if large volumes of doses are supplied by then Deputy Mayor Anastasia Rakova said on Oct. 30. However production challenges remain. Earlier estimates that Russia could produce 30 million doses of the vaccine this year have since been scaled down. Moscow aims to produce 800000 doses this month industry minister Denis Manturov has said followed by 1.5 million in December. But significantly higher volumes of output per month are expected from early 2021. Manturov cited issues with scaling up production from small to large-volume bioreactors while Putin last month cited issues with the availability of equipment. In late October the vaccination of new volunteers was temporarily paused due to high demand and a shortage of doses. Officials have said that domestic production of the vaccine will be used first to meet Russia’s needs. RDIF however has also struck several international supply deals amounting to 270 million doses in total. It is expected that these will in large part be produced in other countries and RDIF has previously announced a deal to manufacture 300 million doses in India and an undisclosed amount of doses in Brazil China and South Korea. Trials have also begun in Belarus and are on track to begin soon in the United Arab Emirates Venezuela and India. Russia reported 19851 new coronavirus infections in the past 24 hours and a record high of 432 deaths. At 1836960 its overall case tally is the fifth largest in the world behind the United States India Brazil and France.  
UN urges Mozambique to investigate reported massacres beheadings,JOHANNESBURG: The United Nations called on Mozambique to investigate reports that militants had massacred villagers and beheaded women and children in a restive northern region. As many as 50 people have died in recent days in attacks by fighters linked to Islamic State local media including Mediafax and The Pinnacle News have reported. Violence had surged this year in Cabo Delgado – a province that borders Tanzania and is the site of a multi-billion dollar natural gas project – alarming governments across southern Africa. UN Secretary-General António Guterres called for an investigation in a statement late on Tuesday. “The Secretary-General is shocked over recent reports of massacres by non-State armed groups in several villages … including the reported beheading and kidnapping of women and children” his spokesman said. There was no immediate response from the government. Militants seeking to carve out an Islamist state started attacks in Cabo Delgado in 2017. They have seized key towns for brief periods and hit military targets this year. In September Amnesty International accused Mozambican soldiers of committing atrocities during a crackdown on the violence but the defence ministry dismissed the reports saying militants regularly impersonated soldiers.      
Bahrain prime minister has died royal palace says,DUBAI: Bahrain’s Prime Minister Sheikh Khalifa bin Salman al Khalifa has died the royal palace announced on Wednesday on Twitter. File – Bahrain Prime Minister Sheikh Khalifa bin Salman al Khalifa casts his ballot at a polling station in the town of Riffa on October 24 2002 during parliamentary elections in the Gulf kingdom. Photo: Bahrain Sheikh Khalifa passed away on Wednesday morning at Mayo Clinic hospital in the United States Bahrain’s state news agency said. The burial ceremony will take place upon the repatriation of his body and the funeral will be limited to a specific number of relatives the statement said. Official mourning has been declared for a week.  
Sudan braces for up to 200000 fleeing Ethiopia fighting,NAIROBI: Up to 200000 refugees could pour into Sudan while fleeing the deadly conflict in Ethiopia’s northern Tigray region officials say while the first details are emerging of largely cut-off civilians under growing strain. Long lines have appeared outside bread shops in the Tigray region and supply-laden trucks are stranded at its borders the United Nations humanitarian chief in the country told The Associated Press in an interview. “We want to have humanitarian access as soon as possible” Sajjad Mohammad Sajid said. “Fuel and food are needed urgently.” Up to 2 million people in Tigray have a “very very difficult time” he said late Tuesday including hundreds of thousands of displaced people. Communications remain almost completely severed with the Tigray region a week after Ethiopia’s Nobel Peace Prize-winning Prime Minister Abiy Ahmed announced a military offensive in response to an alleged attack by regional forces. He insists there will be no negotiations with a regional government he considers illegal until its ruling “clique” is arrested and its well-stocked arsenal is destroyed. The standoff leaves nearly 900 aid workers in the Tigray region from the U.N. and other groups struggling to contact the outside world with pleas for help. “Nine U.N. agencies almost 20 NGOs all depending on two offices” with the means to communicate Sajid said. In addition more than 1000 people of different nationalities are stuck in the region he said. That includes tourists. Countries urgently are seeking their evacuation. With airports in Tigray closed roads blocked internet service cut off and even banks no longer operating it “makes our life very difficult in terms of ensuring almost 2 million people receive humanitarian assistance” Sajid said. There is no sign of a lull in the fighting that has included multiple airstrikes by federal forces and hundreds of people reported dead on each side. Ethiopia’s federal government and Tigray’s regional government blame each other for starting the conflict. Each regards the other as illegal. It remains difficult for diplomats experts and others to very either side’s claims. Under growing pressure at least 6000 Ethiopian refugees have crossed the now-closed border into Sudan the state-run SUNA news agency there reported late Tuesday. The agency citing unidentified officials said that over 200000 Ethiopians were expected to cross into Sudan in the coming days.  
Modi’s coalition cites virus fight in winning first poll since pandemic started,LUCKNOW: Indian Prime Minister Narendra Modi’s coalition retained power in Bihar state results showed on Wednesday in what was a referendum on Modi’s handling of COVID-19 and which may boost his chances in three more state elections next year. Modi’s coalition won a fourth straight term in Bihar the third-most populous state and one of the poorest in India the country which has recorded more than 8.5 million COVID-19 cases the world’s second-highest tally after the United States. The alliance led by Modi’s Bharatiya Janata Party (BJP) won 125 seats in the 243-member Bihar assembly Election Commission data showed after counting started on Tuesday. The counting process took much longer than usual because more electronic voting machines were deployed to avoid crowding in polling centres as per health rules. “This result not only reflects the faith of the poor labourers farmers and youth in the successful fight of the Modi government against corona but is also a lesson for those who mislead the country” the BJP’s second-most powerful leader interior minister Amit Shah said on Twitter. Modi who had announced a slew of projects for Bihar days before its three-phase voting started last month said the win showed the state’s only “aspiration” was economic development. About 1.5 million lowly paid workers from Bihar were forced to head back home from cities such a New Delhi and Mumbai many on foot carrying luggage and children on their shoulders after the factories or other places they worked in shuttered following Modi’s sudden announcement of a national lockdown in late March. Their images and videos had made national and international headlines. Many are now starting to regain work as the economy has been almost fully reopened. Bihar’s unemployment rate has averaged 22.6% since April compared with 13% for the country as a whole data from private think-tank Centre for Monitoring Indian Economy shows. The state sends the fourth highest number of lawmakers to the lower and upper houses of parliament and whoever rules it generally goes on to do well in electing those leaders too. After Bihar the BJP is expected to do well in state elections in Assam and West Bengal next year though it has yet to form a strong base in the southern state of Tamil Nadu that also votes in 2021.  
China’s ByteDance challenges Trump’s TikTok divestiture order,NEW YORK/WASHINGTON: ByteDance the Chinese parent company of video-sharing app TikTok filed a petition late on Tuesday with a US Appeals Court challenging a Trump administration order set to take effect on Thursday requiring it to divest TikTok. President Donald Trump in an Aug. 14 order directed ByteDance to divest the app within 90 days which falls on Thursday. The Trump administration contends TikTok poses national security concerns as the personal data of U.S. users could be obtained by China’s government. TikTok which has over 100 million U.S. users denies the allegations. In the petition filed with the U.S. Court of Appeals for the District of Columbia ByteDance said it is seeking a court review of the divestment order claiming that the order and a finding by a U.S. agency that TikTok represented a security threat were unlawful and violated rights under the U.S. Constitution. ByteDance which has been in talks for a deal with Walmart Inc and Oracle Corp to shift TikTok’s U.S. assets into a new entity also said it is requesting a 30-day extension on the Aug. 14 divestment order so that it can finalize terms of the deal. “Facing continual new requests and no clarity on whether our proposed solutions would be accepted we requested the 30-day extension that is expressly permitted in the August 14 order” TikTok said in a statement. “Without an extension in hand we have no choice but to file a petition in court to defend our rights” the company said. The White House and Treasury declined to comment. The Justice Department did not immediately comment. In September TikTok announced it had a preliminary deal for Walmart and Oracle to take stakes in a new company to oversee U.S. operations. Trump has said the deal had his “blessing.” One big issue that has persisted is over the ownership structure of the new company TikTok Global that would own TikTok’s U.S. assets. In its court filing ByteDance said it submitted a fourth proposal on Friday that contemplated addressing U.S. concerns “by creating a new entity wholly owned by Oracle Walmart and existing U.S. investors in ByteDance that would be responsible for handling TikTok’s U.S. user data and content moderation.” ByteDance said in its court filing it plans to file a request “to stay enforcement of the Divestment order only if discussions reach an impasse and the government indicates an intent to take action to enforce the order.” The petition names Trump Attorney General William Barr Treasury Secretary Steven Mnuchin and the Committee on Foreign Investment in the United States (CFIUS) the inter-agency panel that reviews certain transactions involving foreign investment on national security concerns. It says the CFIUS action and Trump order “seek to compel the wholesale divestment of TikTok a multi-billion-dollar business built on technology developed by” ByteDance “based on the government’s purported national security review of a three-year-old transaction that involved a different business.” A person briefed on the matter told Reuters CFIUS stopped responding to ByteDance soon after Trump’s last public TikTok comments on Sept. 19. TikTok said Tuesday it has “received no substantive feedback on our extensive data privacy and security framework.” The order was based on a government review of ByteDance’s 2017 acquisition of U.S. social media app Musical.ly which ByteDance merged into TikTok. ByteDance’s lawsuit also referenced Trump’s comments at a September campaign rally that the parties to the deal would “pay $5 billion into a fund for education” so that “we can educate people as to the real history of our country.” ByteDance and Tiktok said in the court filing they have not agreed “to contribute to such a fund.” Separate restrictions on TikTok from the U.S. Commerce Department have been blocked by federal courts including restrictions on transactions that were scheduled to take effect Thursday that TikTok warned could effectively ban the app’s use in the United States. A Commerce Department ban on Apple Inc and Alphabet Inc’s Google offering TikTok for download for new U.S. users that had been set to take effect on Sept. 27 has also been blocked.  
Europe COVID death toll tops 300000 as winter looms and infections surge,More than 300000 people have died of COVID-19 across Europe according to a Reuters tally on Tuesday and authorities fear that fatalities and infections will continue to rise as the region heads into winter despite hopes for a new vaccine. With just 10% of the world’s population Europe accounts for almost a quarter of the 1.2 million deaths globally and even its well-equipped hospitals are feeling the strain. After achieving a measure of control over the pandemic with broad lockdowns earlier this year case numbers have surged since the summer and governments have ordered a second series of restrictions to limit social contacts. In all Europe has reported some 12.8 million cases and about 300114 deaths. Over the past week it has seen 280000 cases a day up 10% from the week earlier representing just over half of all new infections reported globally. Hopes have been raised by Pfizer Inc’s announcement of a potentially effective new vaccine but it is not expected to be generally available before 2021 and health systems will have to cope with the winter months unaided. Britain which has imposed a fresh lockdown in England has the highest death toll in Europe at around 49000 and health experts have warned that with a current average of more than 20000 cases daily the country will exceed its “worst case” scenario of 80000 deaths. France Spain Italy and Russia have also reported hundreds of deaths a day and together the five countries account for almost three quarters of the total fatalities. Already facing the prospect of a wave of job losses and business failures governments across the region have been forced to order control measures including local curfews closing non-essential shops and restricting movement. France the worst-affected country in the EU has registered more than 48700 infections per day over the past week and the Paris region’s health authority said last week that 92% of its ICU capacity was occupied. Facing similar pressures Belgian and Dutch hospitals have been forced to send some severely ill patients to Germany. In Italy which became a global symbol of the crisis when army trucks were used to transport the dead during the early months of the pandemic daily average new cases are at a peak at more than 32500. Deaths have been rising by more than 320 per day over the past three weeks. While the new vaccine being developed by Pfizer and German partner BioNTech will take time to arrive authorities are hoping that once winter is passed it will stem further outbreaks next year. Citi Private Bank analysts described the news as “the first major advance toward a Post-COVID world economy”. “More than any fiscal spending package or central bank lending programme a healthcare solution to COVID has the greatest potential to restore economic activity to its full potential…” it said in a note. European Commission President Ursula von der Leyen on Monday said the European Union would soon sign a contract for 300 million doses of the vaccine just hours after the drugmaker announced promising late-stage trials. Yet health experts cautioned that the vaccine should it be approved was no silver bullet – not least because the genetic material it’s made from needs to be stored at temperatures of minus 70 degrees Celsius (-94 F) or below. Such requirements pose a challenge for countries in Asia as well as Africa and Latin America where intense heat is often compounded by poor infrastructure.  
